timestamp,type,Farm,Field,subject,attribute,value,units,participant,participant_type,status_qualifier,comment
6/1/2021 0:00,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Temperature,19.8,C,BME280,device,Test,
6/1/2021 0:00,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Pressure,988.52,mbar,BME280,device,Test,
6/1/2021 0:00,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Humidity,48.4,%,BME280,device,Test,
6/1/2021 0:20,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Temperature,20.54,C,BME280,device,Test,
6/1/2021 0:20,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Pressure,988.57,mbar,BME280,device,Test,
6/1/2021 0:20,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Humidity,49.12,%,BME280,device,Test,
6/1/2021 0:40,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Temperature,20.08,C,BME280,device,Test,
6/1/2021 0:40,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Pressure,988.59,mbar,BME280,device,Test,
6/1/2021 0:40,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Humidity,56.56,%,BME280,device,Test,
6/1/2021 1:00,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Temperature,20.29,C,BME280,device,Test,
6/1/2021 1:00,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Pressure,988.49,mbar,BME280,device,Test,
6/1/2021 1:00,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Humidity,57.4,%,BME280,device,Test,
6/1/2021 1:20,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Temperature,20.26,C,BME280,device,Test,
6/1/2021 1:20,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Pressure,988.44,mbar,BME280,device,Test,
6/1/2021 1:20,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Humidity,52.31,%,BME280,device,Test,
6/1/2021 1:40,Environment_Observation,OpenAgBloom,GBE_D_3,Air,Temperature,20.32,C,BME280,device,Test,
